,Zeitstempel,I use the following databases for my scientific illustrations:,Regarding BioIcons,Is it easy to use the current BioIcons website?,"If you know about BioIcons, have you ever submitted or thought about submitting illustrations using the webform or via PullRequest?",I use the following tools to draw scientific illustrations or to assemble icons from BioIcons in illustrations,Which proposed features do you think are most useful to you: [Extension of the icon catalog based on community requests],Which proposed features do you think are most useful to you: [Collaborative web editor],Which proposed features do you think are most useful to you: [Templating mechanism to share graphics created using BioIcons for others to reuse],Which proposed features do you think are most useful to you: [Workshops on illustration licensing and creating illustrations using BioIcons],Country,Position
508,23.10.2023 13:55:44,SciDraw,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,High priority,High priority,High priority,High priority,Australia,Undergraduate
509,09.11.2023 16:53:57,"BioRender, Reactome","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Microsoft PowerPoint,High priority,Nice to have,Nice to have,Low priority,Korea,PhD student
510,28.11.2023 16:50:30,"BioIcons, SciDraw","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Adobe Illustrator,High priority,High priority,High priority,High priority,,Graduate
511,29.11.2023 12:00:51,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,High priority,High priority,High priority,High priority,,
512,03.12.2023 20:26:51,"BioRender, SciDraw, FreePik","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"Adobe Illustrator, Microsoft PowerPoint",High priority,High priority,High priority,High priority,,
513,05.12.2023 15:48:43,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,High priority,High priority,High priority,High priority,Brazil,PhD student
514,07.12.2023 08:19:41,BioRender,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"Inkscape, BioRender WebEditor, Microsoft PowerPoint",,,,,,
515,07.12.2023 21:05:40,"BioIcons, BioRender, MindTheGraph, TogoTV/DBCLS, SMART by Servier, SciDraw, Reactome, Open ClipArt, Wikimedia Commons, FreePik, Adobe Stock, Other Stocklibrary such as Vecteezy","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"Inkscape, Adobe Illustrator",,,,,,
516,11.12.2023 06:11:01,"BioIcons, BioRender, MindTheGraph, TogoTV/DBCLS, SMART by Servier, SciDraw, Reactome, FreePik, Adobe Stock","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"Inkscape, Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",High priority,High priority,High priority,High priority,,
517,11.12.2023 08:31:08,"BioIcons, BioRender, MindTheGraph, TogoTV/DBCLS, SMART by Servier, SciDraw, Reactome, Open ClipArt, Wikimedia Commons, FreePik, Adobe Stock, Other Stocklibrary such as Vecteezy","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,,,,,,
518,12.12.2023 10:50:23,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,High priority,High priority,High priority,High priority,,PhD student
519,20.12.2023 07:03:41,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Microsoft PowerPoint,Nice to have,Nice to have,Nice to have,Nice to have,,
520,27.12.2023 23:43:22,"BioIcons, BioRender, MindTheGraph, TogoTV/DBCLS, SMART by Servier, SciDraw, Reactome, Open ClipArt, Wikimedia Commons, FreePik, Adobe Stock, Other Stocklibrary such as Vecteezy","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"BioRender WebEditor, Microsoft PowerPoint",Nice to have,Nice to have,Nice to have,Nice to have,,Master 
521,30.12.2023 11:56:27,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Microsoft PowerPoint,Low priority,Low priority,Nice to have,Nice to have,,Professor
522,12.01.2024 04:10:19,SciDraw,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Nice to have,Nice to have,Nice to have,Nice to have,,
523,12.01.2024 12:25:39,,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,,,,,,PhD student
524,15.01.2024 12:59:07,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Unnecessary,Unnecessary,Unnecessary,Unnecessary,,
525,15.01.2024 13:58:27,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,,,,,,
526,16.01.2024 02:30:34,"BioIcons, BioRender, MindTheGraph, TogoTV/DBCLS, SMART by Servier, SciDraw, Reactome, Open ClipArt, Wikimedia Commons, FreePik, Adobe Stock, Other Stocklibrary such as Vecteezy","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"Inkscape, Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",High priority,High priority,High priority,High priority,,
527,26.01.2024 04:41:28,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Microsoft PowerPoint,,,,,,
528,01.02.2024 02:52:43,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Unnecessary,Unnecessary,Unnecessary,Unnecessary,,
529,24.02.2024 12:06:56,SciDraw,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Microsoft PowerPoint,,,,Unnecessary,,PhD student
530,01.03.2024 05:58:00,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Microsoft PowerPoint,,,,,,
531,06.03.2024 09:24:16,"BioIcons, BioRender, MindTheGraph, TogoTV/DBCLS, SMART by Servier, SciDraw, Reactome, Open ClipArt, Wikimedia Commons, FreePik, Adobe Stock, Other Stocklibrary such as Vecteezy","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Adobe Illustrator,High priority,High priority,High priority,High priority,China,PhD student
532,08.03.2024 03:40:13,"BioIcons, BioRender, MindTheGraph, TogoTV/DBCLS, SMART by Servier, SciDraw, Reactome, Open ClipArt, Wikimedia Commons, FreePik, Adobe Stock","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"Inkscape, Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint, GIMP Only office",High priority,High priority,High priority,High priority,Industry,research support company
533,10.03.2024 03:43:05,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"Inkscape, Microsoft PowerPoint",Unnecessary,Unnecessary,Unnecessary,Unnecessary,,
534,12.03.2024 10:53:45,"BioIcons, BioRender, MindTheGraph, TogoTV/DBCLS, SMART by Servier, SciDraw, Reactome, Open ClipArt, Wikimedia Commons, FreePik, Adobe Stock, Other Stocklibrary such as Vecteezy, ","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,High priority,Nice to have,High priority,High priority,,
535,12.03.2024 12:29:42,"BioIcons, SciDraw, Reactome, Wikimedia Commons, FreePik, Adobe Stock","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Microsoft PowerPoint,Nice to have,Nice to have,Nice to have,Nice to have,China,PhD student
536,12.03.2024 13:59:48,"BioIcons, BioRender, SciDraw, ","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"Inkscape, Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",High priority,High priority,High priority,High priority,,
537,17.03.2024 10:25:34,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Microsoft PowerPoint,Nice to have,Nice to have,Nice to have,Nice to have,,
538,17.03.2024 13:17:01,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"Inkscape, Adobe Illustrator",Nice to have,Nice to have,Nice to have,Nice to have,,
539,18.03.2024 15:47:42,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"Inkscape, Microsoft PowerPoint",Unnecessary,Nice to have,Nice to have,Unnecessary,,permanent academic staff
540,24.03.2024 09:16:36,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,High priority,Nice to have,High priority,Nice to have,,
541,28.03.2024 13:08:50,"BioIcons, BioRender, MindTheGraph, TogoTV/DBCLS, SMART by Servier, SciDraw, Reactome, Open ClipArt, Wikimedia Commons, FreePik, Adobe Stock, Other Stocklibrary such as Vecteezy","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,BioRender WebEditor,Nice to have,High priority,Low priority,Low priority,,
542,02.04.2024 08:40:28,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"Inkscape, Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",High priority,High priority,High priority,High priority,,permanent academic staff
543,04.04.2024 15:49:49,"BioIcons, BioRender, Wikimedia Commons, FreePik","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"Inkscape, BioRender WebEditor, Microsoft PowerPoint, Krita",Nice to have,Unnecessary,Nice to have,Nice to have,Spain,Professor
544,07.04.2024 03:57:19,"BioIcons, SciDraw","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"Inkscape, ",,,,,,PostDoc
545,11.04.2024 05:30:34,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Unnecessary,Unnecessary,Unnecessary,Unnecessary,,
546,11.04.2024 14:41:39,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Nice to have,Nice to have,Low priority,Nice to have,,
547,13.04.2024 12:18:26,"BioIcons, BioRender, SciDraw, Reactome","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"Inkscape, Adobe Illustrator",Unnecessary,Unnecessary,Unnecessary,Unnecessary,,
548,14.04.2024 09:19:48,"BioIcons, BioRender, MindTheGraph, SciDraw","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"Inkscape, Adobe Illustrator, BioRender WebEditor",Nice to have,High priority,High priority,Nice to have,,
549,16.04.2024 03:34:32,BioRender,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,BioRender WebEditor,Low priority,Nice to have,Nice to have,Nice to have,,PhD student
550,23.04.2024 14:03:34,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,High priority,High priority,High priority,High priority,,
551,25.04.2024 18:57:58,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Adobe Illustrator,Unnecessary,Unnecessary,Unnecessary,Unnecessary,,
552,27.04.2024 15:53:59,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Unnecessary,Unnecessary,Low priority,Low priority,,Undergraduate
553,28.04.2024 07:10:58,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Adobe Illustrator,Nice to have,Nice to have,Nice to have,Nice to have,,Undergraduate
554,04.05.2024 07:45:02,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,High priority,High priority,High priority,High priority,,
555,04.05.2024 07:46:43,"BioIcons, SciDraw, FreePik","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"Adobe Illustrator, Microsoft PowerPoint",,,High priority,High priority,,Professor
556,05.05.2024 10:37:23,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Adobe Illustrator,Unnecessary,Low priority,Unnecessary,Unnecessary,,Undergraduate
557,08.05.2024 02:05:56,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,High priority,High priority,High priority,High priority,,PhD student
558,08.05.2024 17:22:26,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Unnecessary,Low priority,Nice to have,,,
559,11.05.2024 11:31:47,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"Adobe Illustrator, Microsoft PowerPoint",Nice to have,,Nice to have,High priority,China,PhD student
560,16.05.2024 03:17:57,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Nice to have,Nice to have,Nice to have,Nice to have,,Undergraduate
561,21.05.2024 04:58:37,"BioIcons, SciDraw, Open ClipArt","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Microsoft PowerPoint,Unnecessary,Unnecessary,Low priority,Low priority,,Undergraduate
562,23.05.2024 16:38:48,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"Inkscape, Adobe Illustrator",Nice to have,Nice to have,Nice to have,Nice to have,,PhD student
563,27.05.2024 13:34:42,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Microsoft PowerPoint,High priority,High priority,High priority,High priority,China,PhD student
564,01.06.2024 19:41:15,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Microsoft PowerPoint,Unnecessary,Unnecessary,Unnecessary,Unnecessary,,
565,07.06.2024 18:56:40,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Low priority,Low priority,Low priority,Low priority,,
566,12.06.2024 04:40:28,SciDraw,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,High priority,High priority,High priority,High priority,China,PhD student
567,12.06.2024 07:03:28,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,High priority,High priority,High priority,High priority,,
568,14.06.2024 00:23:19,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Adobe Illustrator,Nice to have,Nice to have,Nice to have,Nice to have,,
569,21.06.2024 09:56:38,,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,High priority,High priority,High priority,High priority,,
570,24.06.2024 07:35:46,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"Inkscape, BioRender WebEditor, Microsoft PowerPoint",Unnecessary,Low priority,Low priority,Unnecessary,,
571,27.06.2024 12:31:09,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"Inkscape, Microsoft PowerPoint",Nice to have,Unnecessary,Unnecessary,,Mexico,Professor
572,29.06.2024 07:21:26,"BioIcons, BioRender, SciDraw","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Nice to have,Nice to have,Nice to have,Nice to have,,PostDoc
573,30.06.2024 12:47:24,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,,,,,Unnecessary,,Undergraduate
574,01.07.2024 06:48:26,BioRender,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,,,,,,
575,01.07.2024 12:49:43,"BioIcons, Open ClipArt, Other Stocklibrary such as Vecteezy","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Nice to have,Nice to have,Nice to have,Nice to have,,
576,01.07.2024 16:21:57,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,,,,,,
577,04.07.2024 03:17:01,SciDraw,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Adobe Illustrator,High priority,High priority,High priority,High priority,,
578,12.07.2024 11:17:25,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,High priority,High priority,High priority,High priority,,PhD student
579,13.07.2024 09:19:02,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Nice to have,Nice to have,Nice to have,Nice to have,,
580,16.07.2024 05:14:53,"BioIcons, BioRender, TogoTV/DBCLS, SMART by Servier, SciDraw","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,High priority,High priority,High priority,High priority,,
581,17.07.2024 13:55:39,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Nice to have,Nice to have,Nice to have,Nice to have,,
582,19.07.2024 07:08:27,SciDraw,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,,,,,,
583,25.07.2024 02:14:20,,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,,,Low priority,,,
584,25.07.2024 13:20:30,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,,,,,,,
585,01.08.2024 05:12:28,"BioIcons, MindTheGraph, SMART by Servier","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Unnecessary,Unnecessary,Unnecessary,Unnecessary,,
586,02.08.2024 03:58:51,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"Inkscape, Microsoft PowerPoint",High priority,High priority,High priority,High priority,,
587,02.08.2024 15:58:28,"TogoTV/DBCLS, Open ClipArt","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,High priority,High priority,High priority,High priority,China,PostDoc
588,05.08.2024 08:25:24,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,High priority,High priority,High priority,High priority,,Undergraduate
589,08.08.2024 08:52:47,"BioIcons, BioRender, MindTheGraph","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,BioRender WebEditor,,Nice to have,Unnecessary,Nice to have,India,PhD student
590,13.08.2024 20:40:44,"BioRender, FreePik, Adobe Stock","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Adobe Illustrator,High priority,,Nice to have,High priority,Chile,Undergraduate
591,21.08.2024 03:16:06,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Nice to have,Nice to have,Nice to have,Nice to have,,
592,22.08.2024 10:00:12,"BioIcons, BioRender, MindTheGraph","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Nice to have,Nice to have,Nice to have,Nice to have,China,PhD student
593,23.08.2024 05:00:34,,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,High priority,High priority,High priority,High priority,,
594,29.08.2024 21:48:12,BioRender,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,BioRender WebEditor,High priority,High priority,High priority,High priority,Brazil,Undergraduate
595,01.09.2024 05:31:11,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Adobe Illustrator,High priority,High priority,High priority,High priority,,
596,06.09.2024 19:12:53,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Adobe Illustrator,Unnecessary,Unnecessary,Unnecessary,Unnecessary,,
597,07.09.2024 13:12:10,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Adobe Illustrator,Unnecessary,Unnecessary,Unnecessary,Unnecessary,,Undergraduate
598,11.09.2024 07:15:35,"BioIcons, BioRender, MindTheGraph","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,High priority,High priority,High priority,High priority,,PhD student
599,20.09.2024 05:06:35,"BioIcons, SciDraw","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"Adobe Illustrator, Microsoft PowerPoint",,,,,,
600,24.09.2024 04:16:08,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Nice to have,Nice to have,Nice to have,Nice to have,,
601,26.09.2024 00:05:31,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Adobe Illustrator,High priority,High priority,High priority,High priority,China,PhD student
602,01.10.2024 03:39:17,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Nice to have,Nice to have,Nice to have,Nice to have,,
603,03.10.2024 12:36:55,"BioIcons, BioRender, SciDraw, Open ClipArt","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,,,,,,,
604,08.10.2024 11:11:18,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Adobe Illustrator,Low priority,Low priority,Low priority,Low priority,,
605,08.10.2024 23:33:25,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Adobe Illustrator,Nice to have,Nice to have,Nice to have,Nice to have,,Undergraduate
606,10.10.2024 11:37:57,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,BioRender WebEditor,Nice to have,Nice to have,Nice to have,Nice to have,,Undergraduate
607,10.10.2024 11:46:59,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"Adobe Illustrator, BioRender WebEditor",Nice to have,Nice to have,Nice to have,Nice to have,,Undergraduate
608,14.10.2024 16:18:59,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Nice to have,Nice to have,Nice to have,Nice to have,,Undergraduate
609,14.10.2024 17:31:30,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,,,,,,
610,14.10.2024 17:33:40,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Nice to have,Unnecessary,Unnecessary,Unnecessary,,Undergraduate
611,14.10.2024 21:53:26,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Adobe Illustrator,Nice to have,Nice to have,Nice to have,Nice to have,,Undergraduate
612,15.10.2024 10:05:30,,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",,,,,,
613,15.10.2024 10:12:54,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Unnecessary,Low priority,Low priority,Nice to have,,PhD student
614,15.10.2024 12:02:21,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Nice to have,Nice to have,Nice to have,Nice to have,,Undergraduate
615,16.10.2024 20:32:53,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,BioRender WebEditor,High priority,High priority,High priority,High priority,,PhD student
616,17.10.2024 16:38:42,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Low priority,Low priority,Low priority,Low priority,,
617,19.10.2024 14:22:59,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"Inkscape, Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",Unnecessary,Unnecessary,Unnecessary,Unnecessary,,Undergraduate
618,20.10.2024 04:38:29,"BioIcons, TogoTV/DBCLS","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,High priority,High priority,High priority,High priority,,
619,20.10.2024 05:20:37,"BioIcons, BioRender, MindTheGraph, TogoTV/DBCLS, SMART by Servier, SciDraw, Reactome, Open ClipArt, Wikimedia Commons, FreePik, Adobe Stock, Other Stocklibrary such as Vecteezy","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Microsoft PowerPoint,High priority,High priority,High priority,High priority,,
620,21.10.2024 03:35:48,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,High priority,High priority,High priority,High priority,,Undergraduate
621,23.10.2024 10:18:06,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,BioRender WebEditor,Unnecessary,Unnecessary,Unnecessary,Unnecessary,,
622,25.10.2024 19:01:02,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Nice to have,Nice to have,Nice to have,Nice to have,Iran,Undergraduate
623,25.10.2024 20:21:35,BioRender,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Nice to have,Nice to have,Nice to have,Nice to have,,Undergraduate
624,25.10.2024 22:53:35,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Nice to have,Nice to have,Nice to have,Nice to have,,Undergraduate
625,26.10.2024 23:33:08,TogoTV/DBCLS,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Unnecessary,Nice to have,Low priority,Nice to have,,Undergraduate
626,28.10.2024 03:39:32,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,High priority,High priority,High priority,High priority,,
627,28.10.2024 15:23:02,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,Inkscape,Unnecessary,Unnecessary,Unnecessary,Unnecessary,China,Undergraduate
628,29.10.2024 13:21:10,"BioIcons, SciDraw","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"Inkscape, Adobe Illustrator, BioRender WebEditor",High priority,High priority,High priority,High priority,,Undergraduate
629,29.10.2024 13:37:54,"BioIcons, BioRender, MindTheGraph, TogoTV/DBCLS, SMART by Servier, SciDraw, Reactome","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,Yes.,"Adobe Illustrator, Microsoft PowerPoint",Unnecessary,Unnecessary,Unnecessary,Unnecessary,,PhD student
630,29.11.2023 07:59:56,"BioIcons, BioRender, MindTheGraph, TogoTV/DBCLS, SMART by Servier, SciDraw, Reactome, Open ClipArt, Wikimedia Commons, FreePik, Adobe Stock, Other Stocklibrary such as Vecteezy",I want to use it but I do not know which editor  I can use.,Yes.,Yes.,"Inkscape, Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",Nice to have,Nice to have,Nice to have,Nice to have,Nigeria,PhD student
631,02.01.2024 14:30:52,"BioIcons, MindTheGraph",I want to use it but I do not know which editor  I can use.,Yes.,Yes.,Adobe Illustrator,Unnecessary,Unnecessary,Unnecessary,Unnecessary,China,研究生
632,15.03.2024 11:57:12,BioIcons,I want to use it but I do not know which editor  I can use.,Yes.,Yes.,Inkscape,Nice to have,Nice to have,Nice to have,Unnecessary,,
633,29.03.2024 08:21:24,BioIcons,I want to use it but I do not know which editor  I can use.,Yes.,Yes.,"Adobe Illustrator, Microsoft PowerPoint",Nice to have,Nice to have,Nice to have,Nice to have,,PhD student
634,10.04.2024 17:40:05,"BioIcons, BioRender, FreePik",I want to use it but I do not know which editor  I can use.,Yes.,Yes.,"Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",,,,,,Undergraduate
635,13.05.2024 14:03:31,BioIcons,I want to use it but I do not know which editor  I can use.,Yes.,Yes.,,Unnecessary,Low priority,Low priority,Low priority,,PhD student
636,28.06.2024 17:50:26,BioRender,I want to use it but I do not know which editor  I can use.,Yes.,Yes.,"Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",High priority,High priority,Nice to have,Nice to have,Germany,permanent academic staff
637,14.07.2024 02:46:12,,I want to use it but I do not know which editor  I can use.,Yes.,Yes.,Inkscape,Unnecessary,Unnecessary,Unnecessary,Unnecessary,,
638,11.08.2024 11:47:25,SciDraw,I want to use it but I do not know which editor  I can use.,Yes.,Yes.,"Inkscape, Microsoft PowerPoint",,,,,,
639,29.08.2024 09:15:07,BioIcons,I want to use it but I do not know which editor  I can use.,Yes.,Yes.,Microsoft PowerPoint,High priority,High priority,High priority,High priority,,PhD student
640,11.09.2023 07:49:13,BioIcons,I want to use it but the catalog is too limited.,Yes.,Yes.,Figma,High priority,Unnecessary,High priority,Nice to have,Slovenia,Undergraduate
641,11.09.2023 16:25:01,BioIcons,I want to use it but the catalog is too limited.,Yes.,Yes.,Inkscape,High priority,High priority,High priority,Nice to have,USA,PostDoc
